ref_area.label,sex.label,classif1.label,time,obs_value
Afghanistan,Sex: Total,Occupation (Skill level): Total,2020,90.8
Afghanistan,Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,2020,151.94
Afghanistan,Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,2020,61.73
Afghanistan,Sex: Total,Occupation (Skill level): Skill level 1 ~ low,2020,43.53
Afghanistan,Sex: Total,Occupation (Skill level): Not elsewhere classified,2020,63.66
Afghanistan,Sex: Male,Occupation (Skill level): Total,2020,81.53
Afghanistan,Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,2020,135.32
Afghanistan,Sex: Male,Occupation (Skill level): Skill level 2 ~ medium,2020,60.31
Afghanistan,Sex: Male,Occupation (Skill level): Skill level 1 ~ low,2020,42.67
Afghanistan,Sex: Male,Occupation (Skill level): Not elsewhere classified,2020,62.85
Afghanistan,Sex: Female,Occupation (Skill level): Total,2020,183.93
Afghanistan,Sex: Female,Occupation (Skill level): Skill levels 3 and 4 ~ high,2020,216.61
Afghanistan,Sex: Female,Occupation (Skill level): Skill level 2 ~ medium,2020,95.67
Afghanistan,Sex: Female,Occupation (Skill level): Skill level 1 ~ low,2020,52.04
Afghanistan,Sex: Female,Occupation (Skill level): Not elsewhere classified,2020,132.04
Afghanistan,Sex: Total,Occupation (ISCO-08): Total,2020,90.8
Afghanistan,Sex: Total,Occupation (ISCO-08): 1. Managers,2020,117.79
Afghanistan,Sex: Total,Occupation (ISCO-08): 2. Professionals,2020,180.13
Afghanistan,Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,2020,65.72
Afghanistan,Sex: Total,Occupation (ISCO-08): 4. Clerical support workers,2020,96.95
Afghanistan,Sex: Total,Occupation (ISCO-08): 5. Service and sales workers,2020,46.75
Afghanistan,Sex: Total,"Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers",2020,44.73
Afghanistan,Sex: Total,Occupation (ISCO-08): 7. Craft and related trades workers,2020,41.72
Afghanistan,Sex: Total,"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",2020,74.41
Afghanistan,Sex: Total,Occupation (ISCO-08): 9. Elementary occupations,2020,43.53
Afghanistan,Sex: Total,Occupation (ISCO-08): 0. Armed forces occupations,2020,59.16
Afghanistan,Sex: Total,Occupation (ISCO-08): X. Not elsewhere classified,2020,132.02
Afghanistan,Sex: Male,Occupation (ISCO-08): Total,2020,81.53
Afghanistan,Sex: Male,Occupation (ISCO-08): 1. Managers,2020,113.01
Afghanistan,Sex: Male,Occupation (ISCO-08): 2. Professionals,2020,163.75
Afghanistan,Sex: Male,Occupation (ISCO-08): 3. Technicians and associate professionals,2020,64.42
Afghanistan,Sex: Male,Occupation (ISCO-08): 4. Clerical support workers,2020,93.84
Afghanistan,Sex: Male,Occupation (ISCO-08): 5. Service and sales workers,2020,45.56
Afghanistan,Sex: Male,"Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers",2020,44.79
Afghanistan,Sex: Male,Occupation (ISCO-08): 7. Craft and related trades workers,2020,41.42
Afghanistan,Sex: Male,"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",2020,74.3
Afghanistan,Sex: Male,Occupation (ISCO-08): 9. Elementary occupations,2020,42.67
Afghanistan,Sex: Male,Occupation (ISCO-08): 0. Armed forces occupations,2020,59.01
Afghanistan,Sex: Male,Occupation (ISCO-08): X. Not elsewhere classified,2020,129.07
Afghanistan,Sex: Female,Occupation (ISCO-08): Total,2020,183.93
Afghanistan,Sex: Female,Occupation (ISCO-08): 1. Managers,2020,253.82
Afghanistan,Sex: Female,Occupation (ISCO-08): 2. Professionals,2020,221.47
Afghanistan,Sex: Female,Occupation (ISCO-08): 3. Technicians and associate professionals,2020,85.33
Afghanistan,Sex: Female,Occupation (ISCO-08): 4. Clerical support workers,2020,138.14
Afghanistan,Sex: Female,Occupation (ISCO-08): 5. Service and sales workers,2020,73.5
Afghanistan,Sex: Female,"Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers",2020,
Afghanistan,Sex: Female,Occupation (ISCO-08): 7. Craft and related trades workers,2020,52.93
Afghanistan,Sex: Female,"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",2020,
Afghanistan,Sex: Female,Occupation (ISCO-08): 9. Elementary occupations,2020,52.04
Afghanistan,Sex: Female,Occupation (ISCO-08): 0. Armed forces occupations,2020,92.97
Afghanistan,Sex: Female,Occupation (ISCO-08): X. Not elsewhere classified,2020,
Afghanistan,Sex: Total,Occupation (Skill level): Total,2014,53.37
Afghanistan,Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,2014,87.6
Afghanistan,Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,2014,52.93
Afghanistan,Sex: Total,Occupation (Skill level): Skill level 1 ~ low,2014,37.83
Afghanistan,Sex: Total,Occupation (Skill level): Not elsewhere classified,2014,66.51
Afghanistan,Sex: Male,Occupation (Skill level): Total,2014,53.68
Afghanistan,Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,2014,90.15
Afghanistan,Sex: Male,Occupation (Skill level): Skill level 2 ~ medium,2014,55.37
Afghanistan,Sex: Male,Occupation (Skill level): Skill level 1 ~ low,2014,37.45
Afghanistan,Sex: Male,Occupation (Skill level): Not elsewhere classified,2014,66.85
Afghanistan,Sex: Female,Occupation (Skill level): Total,2014,49.77
Afghanistan,Sex: Female,Occupation (Skill level): Skill levels 3 and 4 ~ high,2014,77.24
Afghanistan,Sex: Female,Occupation (Skill level): Skill level 2 ~ medium,2014,28.16
Afghanistan,Sex: Female,Occupation (Skill level): Skill level 1 ~ low,2014,55.43
Afghanistan,Sex: Female,Occupation (Skill level): Not elsewhere classified,2014,47.7
Afghanistan,Sex: Total,Occupation (ISCO-08): Total,2014,53.37
Afghanistan,Sex: Total,Occupation (ISCO-08): 1. Managers,2014,101.86
Afghanistan,Sex: Total,Occupation (ISCO-08): 2. Professionals,2014,85.8
Afghanistan,Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,2014,85.52
Afghanistan,Sex: Total,Occupation (ISCO-08): 4. Clerical support workers,2014,80.32
Afghanistan,Sex: Total,Occupation (ISCO-08): 5. Service and sales workers,2014,57.23
Afghanistan,Sex: Total,"Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers",2014,37.35
Afghanistan,Sex: Total,Occupation (ISCO-08): 7. Craft and related trades workers,2014,34.75
Afghanistan,Sex: Total,"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",2014,59.29
Afghanistan,Sex: Total,Occupation (ISCO-08): 9. Elementary occupations,2014,37.83
Afghanistan,Sex: Total,Occupation (ISCO-08): 0. Armed forces occupations,2014,67.62
Afghanistan,Sex: Total,Occupation (ISCO-08): X. Not elsewhere classified,2014,62.29
Afghanistan,Sex: Male,Occupation (ISCO-08): Total,2014,53.68
Afghanistan,Sex: Male,Occupation (ISCO-08): 1. Managers,2014,100.55
Afghanistan,Sex: Male,Occupation (ISCO-08): 2. Professionals,2014,88.85
Afghanistan,Sex: Male,Occupation (ISCO-08): 3. Technicians and associate professionals,2014,87.11
Afghanistan,Sex: Male,Occupation (ISCO-08): 4. Clerical support workers,2014,80.94
Afghanistan,Sex: Male,Occupation (ISCO-08): 5. Service and sales workers,2014,57.67
Afghanistan,Sex: Male,"Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers",2014,37.15
Afghanistan,Sex: Male,Occupation (ISCO-08): 7. Craft and related trades workers,2014,42.47
Afghanistan,Sex: Male,"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",2014,59.16
Afghanistan,Sex: Male,Occupation (ISCO-08): 9. Elementary occupations,2014,37.45
Afghanistan,Sex: Male,Occupation (ISCO-08): 0. Armed forces occupations,2014,67.62
Afghanistan,Sex: Male,Occupation (ISCO-08): X. Not elsewhere classified,2014,63.65
Afghanistan,Sex: Female,Occupation (ISCO-08): Total,2014,49.77
Afghanistan,Sex: Female,Occupation (ISCO-08): 1. Managers,2014,120.18
Afghanistan,Sex: Female,Occupation (ISCO-08): 2. Professionals,2014,75.04
Afghanistan,Sex: Female,Occupation (ISCO-08): 3. Technicians and associate professionals,2014,78.2
Afghanistan,Sex: Female,Occupation (ISCO-08): 4. Clerical support workers,2014,73.36
Afghanistan,Sex: Female,Occupation (ISCO-08): 5. Service and sales workers,2014,34.76
Afghanistan,Sex: Female,"Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers",2014,45.64
Afghanistan,Sex: Female,Occupation (ISCO-08): 7. Craft and related trades workers,2014,18.68
Afghanistan,Sex: Female,"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",2014,
Afghanistan,Sex: Female,Occupation (ISCO-08): 9. Elementary occupations,2014,55.43
Afghanistan,Sex: Female,Occupation (ISCO-08): 0. Armed forces occupations,2014,0
Afghanistan,Sex: Female,Occupation (ISCO-08): X. Not elsewhere classified,2014,47.7
Angola,Sex: Total,Occupation (Skill level): Total,2021,553.03
Angola,Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,2021,1045.9
Angola,Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,2021,316.49
Angola,Sex: Total,Occupation (Skill level): Skill level 1 ~ low,2021,204.51
Angola,Sex: Total,Occupation (Skill level): Not elsewhere classified,2021,796.31
Angola,Sex: Male,Occupation (Skill level): Total,2021,574.06
Angola,Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,2021,1020.48
Angola,Sex: Male,Occupation (Skill level): Skill level 2 ~ medium,2021,322.43
Angola,Sex: Male,Occupation (Skill level): Skill level 1 ~ low,2021,286.39
Angola,Sex: Male,Occupation (Skill level): Not elsewhere classified,2021,788.52
Angola,Sex: Female,Occupation (Skill level): Total,2021,500.89
Angola,Sex: Female,Occupation (Skill level): Skill levels 3 and 4 ~ high,2021,1111.75
Angola,Sex: Female,Occupation (Skill level): Skill level 2 ~ medium,2021,295.27
Angola,Sex: Female,Occupation (Skill level): Skill level 1 ~ low,2021,171.95
Angola,Sex: Female,Occupation (Skill level): Not elsewhere classified,2021,
