"ref_area.label","indicator.label","source.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Afghanistan","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2021",,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2020",4.9,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HIES - Households Living Conditions Survey","2017",4.1,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","HIES - Households Living Conditions Survey","2014",6.4,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Employment Survey","2021",15.4,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Employment Survey","2019",13.3,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","PC - Population Census","2014",19.7,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2019",34.1,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2018",29.3,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2017",22.6,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2016",24.1,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2015",19.8,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2014",18.7,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","LFS - Labour Force Survey","2013",31.9,,,,"Repository: ILO-STATISTICS - Micro data processing"
