country,gender,education_level,marital_status,year,employee_count_thousands
Afghanistan,Male,(ISCED-11): X. No schooling,Single,2021,69.567
Afghanistan,Male,(ISCED-11): X. No schooling,Married,2021,517.679
Afghanistan,Male,(ISCED-11): X. No schooling,Union / Cohabiting,2021,12.445
Afghanistan,Male,(ISCED-11): X. No schooling,Widowed,2021,3.119
Afghanistan,Male,(ISCED-11): 1. Primary education,Single,2021,36.889
Afghanistan,Male,(ISCED-11): 1. Primary education,Married,2021,128.349
Afghanistan,Male,(ISCED-11): 1. Primary education,Union / Cohabiting,2021,2.62
Afghanistan,Male,(ISCED-11): 2. Lower secondary education,Single,2021,34.343
Afghanistan,Male,(ISCED-11): 2. Lower secondary education,Married,2021,104.661
Afghanistan,Male,(ISCED-11): 3. Upper secondary education,Single,2021,87.367
Afghanistan,Male,(ISCED-11): 3. Upper secondary education,Married,2021,180.687
Afghanistan,Male,(ISCED-11): 3. Upper secondary education,Union / Cohabiting,2021,8.72
Afghanistan,Male,(ISCED-11): 4. Post-secondary non-tertiary education,Single,2021,11.888
Afghanistan,Male,(ISCED-11): 4. Post-secondary non-tertiary education,Married,2021,114.956
Afghanistan,Male,(ISCED-11): 5. Short-cycle tertiary education,Married,2021,31.162
Afghanistan,Male,(ISCED-11): 6. Bachelor's or equivalent level,Single,2021,29.859
Afghanistan,Male,(ISCED-11): 6. Bachelor's or equivalent level,Married,2021,175.737
Afghanistan,Male,(ISCED-11): 6. Bachelor's or equivalent level,Union / Cohabiting,2021,11.197
Afghanistan,Male,(ISCED-11): 7. Master's or equivalent level,Single,2021,4.943
Afghanistan,Male,(ISCED-11): 7. Master's or equivalent level,Married,2021,8.416
Afghanistan,Male,(ISCED-11): 9. Not elsewhere classified,Married,2021,25.941
Afghanistan,Female,(ISCED-11): X. No schooling,Married,2021,16.781
Afghanistan,Female,(ISCED-11): X. No schooling,Widowed,2021,14.066
Afghanistan,Female,(ISCED-11): 3. Upper secondary education,Single,2021,1.208
Afghanistan,Female,(ISCED-11): 4. Post-secondary non-tertiary education,Single,2021,6.231
Afghanistan,Female,(ISCED-11): 4. Post-secondary non-tertiary education,Married,2021,13.535
Afghanistan,Female,(ISCED-11): 6. Bachelor's or equivalent level,Single,2021,3.981
Afghanistan,Female,(ISCED-11): 6. Bachelor's or equivalent level,Married,2021,24.85
Afghanistan,Male,(ISCED-11): X. No schooling,Single,2020,1.366
Afghanistan,Male,(ISCED-11): X. No schooling,Union / Cohabiting,2020,21.35
Afghanistan,Male,(ISCED-11): X. No schooling,Widowed,2020,3.944
Afghanistan,Male,(ISCED-11): X. No schooling,Divorced or legally separated,2020,153.865
Afghanistan,Male,(ISCED-11): 1. Primary education,Union / Cohabiting,2020,6.724
Afghanistan,Male,(ISCED-11): 1. Primary education,Divorced or legally separated,2020,41.743
Afghanistan,Male,(ISCED-11): 2. Lower secondary education,Union / Cohabiting,2020,7.629
Afghanistan,Male,(ISCED-11): 2. Lower secondary education,Divorced or legally separated,2020,28.914
Afghanistan,Male,(ISCED-11): 3. Upper secondary education,Single,2020,0.855
Afghanistan,Male,(ISCED-11): 3. Upper secondary education,Union / Cohabiting,2020,19.465
Afghanistan,Male,(ISCED-11): 3. Upper secondary education,Widowed,2020,3.453
Afghanistan,Male,(ISCED-11): 3. Upper secondary education,Divorced or legally separated,2020,94.0
Afghanistan,Male,(ISCED-11): 4. Post-secondary non-tertiary education,Single,2020,0.916
Afghanistan,Male,(ISCED-11): 4. Post-secondary non-tertiary education,Union / Cohabiting,2020,5.315
Afghanistan,Male,(ISCED-11): 4. Post-secondary non-tertiary education,Widowed,2020,1.506
Afghanistan,Male,(ISCED-11): 4. Post-secondary non-tertiary education,Divorced or legally separated,2020,44.247
