Area,Indicator,Source,Year,Value,obs_status.label
Afghanistan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020-01-01,4.9,Unreliable
Afghanistan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Households Living Conditions Survey,2017-01-01,4.1,Unreliable
Afghanistan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Households Living Conditions Survey,2014-01-01,6.4,Unreliable
Angola,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Employment Survey,2021-01-01,15.4,Unknown
Angola,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Employment Survey,2019-01-01,13.3,Break in series
Angola,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),PC - Population Census,2014-01-01,19.7,Unknown
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,34.1,Unknown
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,29.3,Unknown
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017-01-01,22.6,Unknown
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016-01-01,24.1,Unknown
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015-01-01,19.8,Unknown
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2014-01-01,18.7,Unknown
Albania,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2013-01-01,31.9,Unknown
United Arab Emirates,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2022-01-01,23.4,Unknown
United Arab Emirates,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2021-01-01,23.1,Unknown
United Arab Emirates,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020-01-01,17.7,Unknown
United Arab Emirates,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,21.5,Unknown
United Arab Emirates,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,15.8,Unknown
United Arab Emirates,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017-01-01,12.5,Break in series
United Arab Emirates,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016-01-01,14.6,Unknown
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - Permanent Household Survey, Urban",2022-01-01,33.6,Unknown
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - Permanent Household Survey, Urban",2021-01-01,32.7,Unknown
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - Permanent Household Survey, Urban",2020-01-01,33.0,Unknown
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - Permanent Household Survey, Urban",2019-01-01,31.6,Unknown
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - Permanent Household Survey, Urban",2018-01-01,32.6,Unknown
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - Permanent Household Survey, Urban",2017-01-01,31.6,Unknown
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - Permanent Household Survey, Urban",2014-01-01,30.6,Unknown
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - Permanent Household Survey, Urban",2013-01-01,30.3,Unknown
Armenia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Labour Force Survey,2021-01-01,29.7,Unknown
Armenia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Labour Force Survey,2020-01-01,28.1,Unknown
Armenia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Labour Force Survey,2019-01-01,24.4,Unknown
Armenia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Labour Force Survey,2018-01-01,25.7,Break in series
Armenia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Labour Force Survey,2017-01-01,28.7,Unknown
Armenia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Labour Force Survey,2016-01-01,29.5,Unknown
Armenia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Labour Force Survey,2015-01-01,29.1,Unknown
Armenia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Labour Force Survey,2014-01-01,32.4,Break in series
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020-01-01,40.0,Unknown
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,39.2,Unknown
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,37.8,Unknown
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017-01-01,38.7,Unknown
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016-01-01,36.7,Unknown
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015-01-01,37.7,Unknown
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2014-01-01,36.3,Unknown
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2013-01-01,35.8,Unknown
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"HIES - Household, Income and Labour Dynamics Survey",2021-01-01,39.7,Unknown
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2022-01-01,33.4,Unknown
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2021-01-01,35.5,Unknown
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020-01-01,32.8,Unknown
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,33.2,Unknown
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,31.6,Unknown
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017-01-01,31.8,Unknown
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016-01-01,31.8,Unknown
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015-01-01,29.7,Unknown
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2014-01-01,30.3,Unknown
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2013-01-01,29.3,Unknown
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2022-01-01,35.4,Unknown
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2021-01-01,35.5,Unknown
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020-01-01,34.6,Unknown
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,34.9,Unknown
