country,gender,age_group,year,unemployment_rate
Afghanistan,Male,15+,2021,5.6
Afghanistan,Male,15-24,2021,8.45
Afghanistan,Male,25+,2021,4.6
Afghanistan,Female,15+,2021,5.5
Afghanistan,Female,15-24,2021,9.41
Afghanistan,Female,25+,2021,3.77
Afghanistan,Male,15+,2020,10.45
Afghanistan,Male,15-24,2020,14.54
Afghanistan,Male,25+,2020,8.86
Afghanistan,Female,15+,2020,16.77
Afghanistan,Female,15-24,2020,21.11
Afghanistan,Female,25+,2020,14.12
Afghanistan,Male,15+,2017,10.37
Afghanistan,Male,15-24,2017,16.29
Afghanistan,Male,25+,2017,7.86
Afghanistan,Female,15+,2017,14.03
Afghanistan,Female,15-24,2017,21.4
Afghanistan,Female,25+,2017,10.05
Afghanistan,Male,15+,2014,7.2
Afghanistan,Male,15-24,2014,8.86
Afghanistan,Male,25+,2014,6.36
Afghanistan,Female,15+,2014,10.11
Afghanistan,Female,15-24,2014,12.55
Afghanistan,Female,25+,2014,8.25
Angola,Male,15+,2021,15.82
Angola,Male,15-24,2021,31.9
Angola,Male,25+,2021,10.08
Angola,Female,15+,2021,15.78
Angola,Female,15-24,2021,27.26
Angola,Female,25+,2021,11.9
Angola,Male,15+,2019,16.45
Angola,Male,15-24,2019,33.38
Angola,Male,25+,2019,10.49
Angola,Female,15+,2019,16.55
Angola,Female,15-24,2019,29.07
Angola,Female,25+,2019,12.15
Angola,Male,15+,2014,9.96
Angola,Male,15-24,2014,17.87
Angola,Male,25+,2014,8.03
Angola,Female,15+,2014,9.1
Angola,Female,15-24,2014,16.72
Angola,Female,25+,2014,7.01
Albania,Male,15+,2019,11.58
Albania,Male,15-24,2019,27.76
Albania,Male,25+,2019,9.37
Albania,Female,15+,2019,11.32
Albania,Female,15-24,2019,25.85
Albania,Female,25+,2019,9.61
Albania,Male,15+,2018,12.63
Albania,Male,15-24,2018,29.51
Albania,Male,25+,2018,10.08
Albania,Female,15+,2018,11.88
Albania,Female,15-24,2018,25.8
Albania,Female,25+,2018,10.34
Albania,Male,15+,2017,14.44
Albania,Male,15-24,2017,33.68
Albania,Male,25+,2017,11.95
Albania,Female,15+,2017,12.5
Albania,Female,15-24,2017,27.79
Albania,Female,25+,2017,11.11
Albania,Male,15+,2016,16.14
Albania,Male,15-24,2016,37.69
Albania,Male,25+,2016,13.37
Albania,Female,15+,2016,14.47
Albania,Female,15-24,2016,34.84
Albania,Female,25+,2016,12.44
Albania,Male,15+,2015,17.25
Albania,Male,15-24,2015,39.53
Albania,Male,25+,2015,13.82
Albania,Female,15+,2015,17.12
Albania,Female,15-24,2015,40.82
Albania,Female,25+,2015,14.68
Albania,Male,15+,2014,19.91
Albania,Male,15-24,2014,43.61
Albania,Male,25+,2014,16.37
Albania,Female,15+,2014,15.52
Albania,Female,15-24,2014,32.81
Albania,Female,25+,2014,13.72
Albania,Male,15+,2013,17.76
Albania,Male,15-24,2013,33.65
Albania,Male,25+,2013,15.3
Albania,Female,15+,2013,13.44
Albania,Female,15-24,2013,27.07
Albania,Female,25+,2013,11.93
United Arab Emirates,Male,15+,2022,1.45
United Arab Emirates,Male,15-24,2022,6.2
United Arab Emirates,Male,25+,2022,1.07
United Arab Emirates,Female,15+,2022,7.07
United Arab Emirates,Female,15-24,2022,22.95
United Arab Emirates,Female,25+,2022,5.8
United Arab Emirates,Male,15+,2021,2.11
United Arab Emirates,Male,15-24,2021,7.11
United Arab Emirates,Male,25+,2021,1.63
United Arab Emirates,Female,15+,2021,6.19
United Arab Emirates,Female,15-24,2021,18.86
United Arab Emirates,Female,25+,2021,4.99
United Arab Emirates,Male,15+,2020,3.84
United Arab Emirates,Male,15-24,2020,12.46
United Arab Emirates,Male,25+,2020,3.19
United Arab Emirates,Female,15+,2020,5.72
United Arab Emirates,Female,15-24,2020,18.71
United Arab Emirates,Female,25+,2020,4.75
United Arab Emirates,Male,15+,2019,1.34
United Arab Emirates,Male,15-24,2019,5.19
United Arab Emirates,Male,25+,2019,0.97
United Arab Emirates,Female,15+,2019,5.35
United Arab Emirates,Female,15-24,2019,15.74
United Arab Emirates,Female,25+,2019,4.46
United Arab Emirates,Male,15+,2018,1.34
United Arab Emirates,Male,15-24,2018,5.02
United Arab Emirates,Male,25+,2018,0.96
United Arab Emirates,Female,15+,2018,5.95
United Arab Emirates,Female,15-24,2018,12.84
United Arab Emirates,Female,25+,2018,4.95
United Arab Emirates,Male,15+,2017,1.33
United Arab Emirates,Male,15-24,2017,5.6
United Arab Emirates,Male,25+,2017,0.89
United Arab Emirates,Female,15+,2017,7.14
United Arab Emirates,Female,15-24,2017,14.77
United Arab Emirates,Female,25+,2017,6.18
